"All requests for information made to the Ministry that were logged as Official Information requests for the period from 1 July 2017 to 30 December 2017, including the date received, date response was sent and the date the response was extended to if applicable.",,,,,,
,,,,,,
Number,Date Received,Date Due to Requestor,Extended Date Due to Requestor,Date Decision Communicated,Revised due date following decision,Date response sent to Requestor
203,16/10/2017,14/11/2017,nil,14/11/2017,24/11/2017,15/11/2017
204,10/7/2017,7/8/2017,nil,26/7/2017,nil,26/7/2017
205,28/8/2017,25/9/2017,nil,nil,nil,28/8/2017
206,30/8/2017,27/9/2017,nil,27/9/2017,11/10/2017,11/10/2017
207,9/10/2017,7/11/2017,nil,nil,nil,17/10/2017
208,21/9/2017,19/10/2017,nil,nil,nil,17/10/2017
209,13/11/2017,11/12/2017,14/12/2017,nil,nil,14/12/2017
210,12/12/2017,31/1/2018,nil,nil,nil,Request withdrawn
211,13/12/2017,1/2/2018,nil,nil,nil,30/11/2017
212,6/11/2017,4/12/2017,nil,nil,nil,30/11/2017
213,31/8/2017,28/9/2017,nil,nil,nil,4/9/2017
214,31/8/2017,28/9/2017,27/10/2017,nil,nil,24/10/2017
215,17/7/2017,14/8/2017,nil,nil,nil,11/8/2017
216,7/8/2017,4/9/2017,nil,nil,nil,9/8/2017
217,19/7/2017,8/9/2017,nil,21/8/2017,8/9/2017,6/9/2017
218,28/11/2017,17/1/2018,nil,nil,nil,17/1/2018
219,21/7/2017,18/8/2017,14/9/2017,nil,nil,25/8/2017
220,30/8/2017,27/9/2017,nil,27/9/2017,26/10/2017,25/10/2017
221,5/9/2017,3/10/2017,nil,3/10/2017,1/11/2017,19/10/2017
222,27/11/2017,16/1/2018,nil,nil,nil,19/12/2017
223,11/9/2017,9/10/2017,7/11/2017,8/11/2017,nil,24/11/2017
224,19/12/2017,8/2/2018,nil,7/2/2018,nil,7/2/2018
225,21/9/2017,19/10/2017,17/11/2017,17/11/2017,1/12/2017,4/12/2017
226,21/9/2017,19/10/2017,17/11/2017,17/11/2017,1/12/2017,4/12/2017
227,12/7/2017,9/8/2017,nil,nil,nil,28/7/2017
228,21/7/2017,18/8/2017,15/9/2017,nil,nil,19/9/2017
229,12/12/2017,31/1/2018,nil,nil,nil,23/1/2018
230,20/9/2017,18/10/2017,nil,nil,nil,22/9/2017
231,26/7/2017,23/8/2017,nil,nil,nil,11/8/2017
232,20/10/2017,20/11/2017,nil,20/11/2017,7/12/2017,30/11/2017
233,29/8/2017,26/9/2017,nil,nil,nil,20/9/2017
234,3/7/2017,25/8/2017,nil,4/8/2017,25/8/2017,22/8/2017
235,4/7/2017,1/8/2017,nil,nil,nil,10/7/2017
236,2/8/2017,30/8/2017,18/9/2017,18/9/2017,22/9/2017,20/9/2017
237,18/7/2017,15/8/2017,nil,9/8/2017,29/8/2017,29/8/2017
238,24/7/2017,21/8/2017,nil,nil,nil,1/8/2017
239,24/10/2017,21/11/2017,nil,21/11/2017,13/12/2017,22/12/2017
240,16/10/2017,14/11/2017,nil,24/11/2017,1/12/2017,30/11/2017
241,13/10/2017,13/11/2017,nil,nil,nil,7/11/2017
