Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
27/6/2017,25/7/2017,12/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,24/7/2017,,No,No,Yes,No
28/6/2017,26/7/2017,25/7/2017,,Yes,No,No,No
27/6/2017,26/7/2017,25/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,26/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,25/7/2017,,Yes,No,No,No
27/6/2017,25/7/2017,11/7/2017,,No,No,No,No
28/6/2017,26/7/2017,27/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,27/7/2017,,Yes,No,No,No
26/6/2017,24/7/2017,24/7/2017,,No,No,No,No
27/6/2017,25/7/2017,21/7/2017,,No,No,Yes,No
28/6/2017,26/7/2017,26/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,14/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,14/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,20/7/2017,,No,No,No,Yes
28/6/2017,26/7/2017,7/7/2017,,No,No,No,No
28/6/2017,12/7/2017,12/7/2017,,No,No,No,Yes
28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,18/7/2017,,No,No,No,No
28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
28/6/2017,26/7/2017,12/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,21/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,26/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,10/7/2017,,No,No,No,Yes
29/6/2017,27/7/2017,13/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,26/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,11/7/2017,,No,No,No,No
29/6/2017,27/7/2017,7/7/2017,,No,No,Yes,No
29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,6/7/2017,,No,No,Yes,No
29/6/2017,27/7/2017,7/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,21/7/2017,,No,No,No,No
29/6/2017,28/7/2017,14/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,26/7/2017,,No,No,Yes,No
29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,24/7/2017,,No,No,Yes,No
29/6/2017,27/7/2017,25/7/2017,,No,No,Yes,No
30/6/2017,6/7/2017,4/7/2017,,Yes,No,No,No
30/6/2017,6/7/2017,4/7/2017,,Yes,No,No,No
30/6/2017,6/7/2017,4/7/2017,,Yes,No,No,No
29/6/2017,13/7/2017,10/7/2017,,No,No,No,No
29/6/2017,27/7/2017,14/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,18/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,11/7/2017,,No,No,No,No
29/6/2017,27/7/2017,27/7/2017,,No,No,Yes,No
29/6/2017,27/7/2017,14/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,27/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,14/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,25/7/2017,,Yes,No,No,No
29/6/2017,27/7/2017,12/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,5/7/2017,,No,No,No,Yes
30/6/2017,28/7/2017,14/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,25/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,28/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,21/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,18/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,4/7/2017,,Yes,No,No,No
30/6/2017,25/8/2017,23/8/2017,28/7/2017,No,No,Yes,No
30/6/2017,28/7/2017,20/7/2017,,No,No,No,No
3/7/2017,31/7/2017,7/7/2017,,Yes,No,No,No
3/7/2017,31/7/2017,31/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,3/7/2017,,Yes,No,No,No
30/6/2017,28/7/2017,3/7/2017,,Yes,No,No,No
3/7/2017,31/7/2017,14/7/2017,,Yes,No,No,No
3/7/2017,31/7/2017,26/7/2017,,Yes,No,No,No
1/7/2017,31/7/2017,4/7/2017,,Yes,No,No,No
3/7/2017,31/7/2017,12/7/2017,,Yes,No,No,No
23/6/2017,21/7/2017,21/7/2017,,Yes,No,No,No
