Official Correspondence,Date Received into Department,Date Due,Date Sent,Date Extension Granted,Full Response,Full Transfer,Partial Release,Declined
Official Information Act,5/7/2017,2/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,5/7/2017,2/8/2017,6/7/2017,,Yes,No,No,No
Official Information Act,5/7/2017,2/8/2017,1/8/2017,,No,No,No,Yes
Official Information Act,6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,3/8/2017,,No,No,No,Yes
Official Information Act,6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,14/7/2017,,No,No,No,Yes
Official Information Act,6/7/2017,3/8/2017,18/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,13/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,7/7/2017,4/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,7/7/2017,4/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,7/7/2017,4/8/2017,18/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,3/8/2017,2/8/2017,,No,No,Yes,No
Official Information Act,7/7/2017,4/8/2017,7/7/2017,,Yes,No,No,No
Official Information Act,7/7/2017,4/8/2017,7/7/2017,,Yes,No,No,No
Official Information Act,7/7/2017,4/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,7/7/2017,4/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,13/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,14/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,20/7/2017,,No,No,No,Yes
Official Information Act,10/7/2017,7/8/2017,20/7/2017,,No,No,No,Yes
Official Information Act,6/7/2017,3/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,7/8/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,10/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,22/8/2017,22/8/2017,,No,No,No,Yes
Official Information Act,11/7/2017,8/8/2017,2/8/2017,,No,No,Yes,No
Official Information Act,11/7/2017,8/8/2017,11/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,11/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,12/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,8/8/2017,24/7/2017,,No,No,No,Yes
Official Information Act,11/7/2017,8/8/2017,4/8/2017,,No,No,Yes,No
Official Information Act,11/7/2017,5/9/2017,11/8/2017,8/8/2017,No,No,Yes,No
Official Information Act,12/7/2017,9/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,11/7/2017,9/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,4/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,18/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,6/7/2017,4/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,10/7/2017,7/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,9/8/2017,,No,No,Yes,No
Official Information Act,10/7/2017,7/8/2017,2/8/2017,,No,No,Yes,No
Official Information Act,12/7/2017,6/9/2017,6/9/2017,9/8/2017,No,No,Yes,No
Official Information Act,12/7/2017,9/8/2017,13/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,25/7/2017,,No,No,No,Yes
Official Information Act,12/7/2017,9/8/2017,8/8/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,9/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,13/7/2017,10/8/2017,31/7/2017,,No,No,Yes,No
Official Information Act,13/7/2017,10/8/2017,8/8/2017,,Yes,No,No,No
Official Information Act,13/7/2017,10/8/2017,21/7/2017,,Yes,No,No,No
Official Information Act,13/7/2017,10/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,13/7/2017,10/8/2017,31/7/2017,,No,No,No,Yes
Official Information Act,13/7/2017,10/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,13/7/2017,10/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,14/7/2017,11/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,13/7/2017,10/8/2017,14/7/2017,,Yes,No,No,No
Official Information Act,13/7/2017,11/8/2017,14/7/2017,,Yes,No,No,No
Official Information Act,14/7/2017,11/8/2017,14/7/2017,,Yes,No,No,No
Official Information Act,13/7/2017,11/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,14/7/2017,11/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,14/7/2017,11/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,3/7/2017,31/7/2017,24/7/2017,,Yes,No,No,No
Official Information Act,14/7/2017,11/8/2017,14/7/2017,,Yes,No,No,No
Official Information Act,14/7/2017,11/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,14/7/2017,11/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,9/8/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,17/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,18/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,28/6/2017,27/7/2017,27/7/2017,,No,No,Yes,No
Official Information Act,17/7/2017,14/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,17/7/2017,15/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,17/7/2017,14/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,27/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,21/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,21/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,20/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,16/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,16/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,16/8/2017,,No,No,No,Yes
Official Information Act,18/7/2017,15/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,20/7/2017,,Yes,No,No,No
Official Information Act,14/7/2017,16/8/2017,11/8/2017,,No,No,Yes,No
Official Information Act,18/7/2017,15/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,18/7/2017,15/8/2017,19/7/2017,,No,No,No,Yes
Official Information Act,18/7/2017,15/8/2017,19/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,10/8/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,17/8/2017,4/8/2017,,No,No,No,Yes
Official Information Act,19/7/2017,17/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,19/7/2017,17/8/2017,20/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,4/8/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,20/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,16/8/2017,20/7/2017,,Yes,No,No,No
Official Information Act,20/7/2017,17/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,20/7/2017,17/8/2017,11/8/2017,,No,No,No,Yes
Official Information Act,20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,20/7/2017,17/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,19/7/2017,18/8/2017,18/8/2017,,No,No,Yes,No
Official Information Act,21/7/2017,18/8/2017,24/7/2017,,No,No,Yes,No
Official Information Act,20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,20/7/2017,17/8/2017,2/8/2017,,No,Yes,No,No
Official Information Act,20/7/2017,17/8/2017,31/7/2017,,Yes,No,No,No
Official Information Act,20/7/2017,17/8/2017,28/7/2017,,No,No,No,Yes
Official Information Act,21/7/2017,18/8/2017,14/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,18/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,No,No,No,Yes
Official Information Act,21/7/2017,18/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,21/7/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,27/7/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,4/7/2017,1/8/2017,24/7/2017,,No,Yes,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,1/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,21/7/2017,18/8/2017,2/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,28/7/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,15/8/2017,,No,No,No,Yes
Official Information Act,24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,11/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,27/7/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,24/7/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,12/7/2017,26/7/2017,26/7/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,9/8/2017,,No,No,Yes,No
Official Information Act,24/7/2017,21/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,25/7/2017,,Yes,No,No,No
Official Information Act,24/7/2017,21/8/2017,9/8/2017,,No,No,Yes,No
Official Information Act,25/7/2017,22/8/2017,27/7/2017,,Yes,No,No,No
Official Information Act,25/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
Official Information Act,24/7/2017,22/8/2017,3/8/2017,,Yes,No,No,No
