,,,,,,
Date Received,Date Answered,If answered on the last day: time sent,If extened; date extension notice sent,If extension notice sent last allowable day; time sent,Duration of extension (working days),Outcome of Request (FR = Full Release; PR = Partial Release; R = Refusal; T = Transfer)
5/12/17,7/12/17,,,,,T
5/12/17,20/12/17,,,,,T
6/12/17,24/01/18,,,,,PR
7/12/17,7/12/17,,,,,R
7/12/17,26/01/18,13:40:00,,,,PR
11/12/17,21/12/17,,,,,FR
11/12/17,29/01/18,,,,,FR
8/12/17,1/03/18,12:06:00,10/01/18,,22,FR
11/12/17,17/01/18,,,,,FR
9/12/17,29/01/18,08:10:00,,,,FR
8/12/17,13/12/17,,,,,R
13/12/17,31/01/18,,,,,FR
13/12/17,15/01/18,,,,,T
15/12/17,21/12/17,,,,,FR
14/12/17,22/12/17,,,,,R
14/12/17,31/01/18,,,,,PR
14/12/17,18/01/18,,,,,R
13/12/17,19/01/18,,,,,FR
15/12/17,5/02/18,10:37:00,,,,FR
15/12/17,21/02/18,,29/01/18,,12,FR
15/12/17,13/02/18,10:52:00,29/01/18,,5,FR
8/12/17,13/02/18,10:52:00,29/01/18,16:00:00,10,FR
14/12/17,13/02/18,10:52:00,29/01/18,,6,FR
18/12/17,2/02/18,,,,,PR
18/12/17,7/02/18,16:00:00,,,,FR
18/12/17,7/02/18,17:28:00,,,,FR
18/12/17,17/01/18,,,,,R
20/12/17,5/02/18,,,,,PR
21/12/17,15/02/18,,12/02/18,18:30:00,10,FR
21/12/17,9/02/18,,,,,FR
19/12/17,29/01/18,,,,,R
22/12/17,13/02/18,19:58:00,,,,FR
